Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001,SE_T157_001
"29189215202","14000US29189215202","Census Tract 2152.02, St. Louis County, Missouri","Census Tract 2152.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005416",,,,,"29","189",,,,"215202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101815,0.4821
"29189215231","14000US29189215231","Census Tract 2152.31, St. Louis County, Missouri","Census Tract 2152.31, St. Louis County, Missouri","mo","140","00","ACSSF","0005417",,,,,"29","189",,,,"215231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90547,0.4223
"29189215232","14000US29189215232","Census Tract 2152.32, St. Louis County, Missouri","Census Tract 2152.32, St. Louis County, Missouri","mo","140","00","ACSSF","0005418",,,,,"29","189",,,,"215232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99432,0.4444
"29189215301","14000US29189215301","Census Tract 2153.01, St. Louis County, Missouri","Census Tract 2153.01, St. Louis County, Missouri","mo","140","00","ACSSF","0005419",,,,,"29","189",,,,"215301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92216,0.524
"29189215302","14000US29189215302","Census Tract 2153.02, St. Louis County, Missouri","Census Tract 2153.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005420",,,,,"29","189",,,,"215302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125625,0.5001
"29189215400","14000US29189215400","Census Tract 2154, St. Louis County, Missouri","Census Tract 2154, St. Louis County, Missouri","mo","140","00","ACSSF","0005421",,,,,"29","189",,,,"215400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185250,0.5095
"29189215500","14000US29189215500","Census Tract 2155, St. Louis County, Missouri","Census Tract 2155, St. Louis County, Missouri","mo","140","00","ACSSF","0005422",,,,,"29","189",,,,"215500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115500,0.4739
"29189215600","14000US29189215600","Census Tract 2156, St. Louis County, Missouri","Census Tract 2156, St. Louis County, Missouri","mo","140","00","ACSSF","0005423",,,,,"29","189",,,,"215600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52123,0.3909
"29189215700","14000US29189215700","Census Tract 2157, St. Louis County, Missouri","Census Tract 2157, St. Louis County, Missouri","mo","140","00","ACSSF","0005424",,,,,"29","189",,,,"215700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41875,0.3907
"29189215800","14000US29189215800","Census Tract 2158, St. Louis County, Missouri","Census Tract 2158, St. Louis County, Missouri","mo","140","00","ACSSF","0005425",,,,,"29","189",,,,"215800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69329,0.5583
